# firn-dom-soak v1 variante=gc
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
13668	12600000	1364	9	5959	1310720	618905
13773	12700000	1364	8	6007	1310720	618905
13878	12800000	1364	12	6054	1310720	618905
13984	12900000	1364	11	6101	1310720	618905
14090	13000000	1364	10	6149	1310720	618905
14197	13100000	1364	8	6196	1310720	618905
14306	13200000	1364	12	6243	1310720	618905
14412	13300000	1364	11	6290	1310720	618905
14518	13400000	1364	10	6338	1310720	618905
14636	13500000	1364	8	6385	1310720	618905
14751	13600000	1364	12	6432	1310720	618905
14856	13700000	1364	12	6480	1310720	618905
14964	13800000	1364	10	6527	1310720	618905
15068	13900000	1364	8	6574	1310720	618905
15177	14000000	1364	7	6622	1310720	618905
15292	14100000	1364	12	6669	1310720	618905
15402	14200000	1364	10	6716	1310720	618905
15507	14300000	1364	8	6763	1310720	618905
15613	14400000	1364	7	6811	1310720	618905
15722	14500000	1364	12	6858	1310720	618905
15827	14600000	1364	10	6905	1310720	618905
15933	14700000	1364	9	6953	1310720	618905
16037	14800000	1364	7	7000	1310720	618905
16141	14900000	1364	12	7047	1310720	618905
16250	15000000	1364	11	7095	1310720	618905
16365	15100000	1364	9	7142	1310720	618905
16473	15200000	1364	7	7189	1310720	618905
16581	15300000	1364	12	7236	1310720	618905
16691	15400000	1364	11	7284	1310720	618905
16798	15500000	1364	9	7331	1310720	618905
16904	15600000	1364	7	7378	1310720	618905
17011	15700000	1364	12	7426	1310720	618905
17118	15800000	1364	11	7473	1310720	618905
17223	15900000	1364	9	7520	1310720	618905
17329	16000000	1364	8	7568	1310720	618905
17435	16100000	1364	12	7615	1310720	618905
17542	16200000	1364	11	7662	1310720	618905
17653	16300000	1364	9	7709	1310720	627286
17763	16400000	1364	8	7757	1310720	627286
17867	16500000	1364	12	7804	1310720	627286
17974	16600000	1364	11	7851	1310720	627286
18088	16700000	1364	10	7899	1310720	627286
18193	16800000	1364	8	7946	1310720	627286
18298	16900000	1364	12	7993	1310720	627286
18404	17000000	1364	12	8041	1310720	627286
18513	17100000	1364	10	8088	1310720	627286
18618	17200000	1364	8	8135	1310720	627286
18724	17300000	1364	12	8182	1310720	627286
18830	17400000	1364	12	8230	1310720	627286
18937	17500000	1364	10	8277	1310720	627286
19042	17600000	1364	8	8324	1310720	627286
19154	17700000	1364	7	8372	1310720	627286
19269	17800000	1364	12	8419	1310720	627286
19383	17900000	1364	10	8466	1310720	627286
19496	18000000	1364	9	8514	1310720	627286
19606	18100000	1364	7	8561	1310720	627286
19720	18200000	1364	12	8608	1310720	627286
19828	18300000	1364	10	8655	1310720	627286
19939	18400000	1364	9	8703	1310720	627286
20048	18500000	1364	7	8750	1310720	627286
20157	18600000	1364	12	8797	1310720	627286
20266	18700000	1364	11	8845	1310720	627286
20375	18800000	1364	9	8892	1310720	627286
20486	18900000	1364	7	8939	1310720	627286
20596	19000000	1364	12	8987	1310720	627286
20706	19100000	1364	11	9034	1310720	627286
20818	19200000	1364	9	9081	1310720	627286
20927	19300000	1364	7	9128	1310720	627286
21039	19400000	1364	12	9176	1310720	627286
21161	19500000	1364	11	9223	1310720	651946
21287	19600000	1364	9	9270	1310720	651946
21406	19700000	1364	8	9318	1310720	651946
21518	19800000	1364	12	9365	1310720	651946
21629	19900000	1364	11	9412	1310720	651946
21740	20000000	1364	10	9460	1310720	651946
21850	20100000	1364	8	9507	1310720	651946
21963	20200000	1364	12	9554	1310720	651946
22072	20300000	1364	12	9602	1310720	651946
22181	20400000	1364	10	9649	1310720	651946
22289	20500000	1364	8	9696	1310720	651946
22395	20600000	1364	12	9743	1310720	651946
22505	20700000	1364	12	9791	1310720	651946
22613	20800000	1364	10	9838	1310720	2352141
22721	20900000	1364	8	9885	1310720	2352141
22831	21000000	1364	7	9933	1310720	2352141
22940	21100000	1364	12	9980	1310720	2352141
23048	21200000	1364	10	10027	1310720	2352141
23156	21300000	1364	9	10075	1310720	2352141
23264	21400000	1364	7	10122	1310720	2352141
23371	21500000	1364	12	10169	1310720	2352141
23523	21600000	1364	10	10216	1310720	2352141
23636	21700000	1364	9	10264	1310720	2352141
23744	21800000	1364	7	10311	1310720	2352141
23853	21900000	1364	12	10358	1310720	2352141
23964	22000000	1364	11	10406	1310720	2352141
24072	22100000	1364	9	10453	1310720	2352141
24184	22200000	1364	7	10500	1310720	2352141
24293	22300000	1364	12	10548	1310720	2352141
24401	22400000	1364	11	10595	1310720	2352141
24514	22500000	1364	9	10642	1310720	2352141
24624	22600000	1364	7	10689	1310720	2352141
24751	22700000	1364	12	10737	1310720	2352141
24902	22800000	1364	11	10784	1310720	2352141
25012	22900000	1364	9	10831	1310720	2352141
25122	23000000	1364	8	10879	1310720	2352141
25230	23100000	1364	12	10926	1310720	2352141
25343	23200000	1364	11	10973	1310720	2352141
25469	23300000	1364	10	11021	1310720	2352141
25579	23400000	1364	8	11068	1310720	2352141
25689	23500000	1364	12	11115	1310720	2352141
25796	23600000	1364	11	11162	1310720	2352141
25928	23700000	1364	10	11210	1310720	2352141
26054	23800000	1364	8	11257	1310720	2352141
26162	23900000	1364	12	11304	1310720	2352141
26271	24000000	1364	12	11352	1310720	2352141
26410	24100000	1364	10	11399	1310720	2352141
26525	24200000	1364	8	11446	1310720	2352141
26634	24300000	1364	7	11494	1310720	2352141
26742	24400000	1364	12	11541	1310720	2352141
26849	24500000	1364	10	11588	1310720	2352141
26962	24600000	1364	8	11635	1310720	2352141
27069	24700000	1364	7	11683	1310720	2352141
27180	24800000	1364	12	11730	1310720	2352141
27291	24900000	1364	10	11777	1310720	2352141
27400	25000000	1364	9	11825	1310720	2352141
27525	25100000	1364	7	11872	1310720	2352141
