# firn-dom-soak v1 variante=gc
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
810556	475400000	1696	87	464225	1572864	31113200
816895	479400000	1696	103	468131	1572864	31113200
823124	483400000	1696	87	472037	1572864	31113200
829359	487400000	1696	106	475943	1572864	31113200
835646	491400000	1696	95	479849	1572864	31113200
841979	495400000	1696	91	483755	1572864	31113200
848262	499400000	1696	87	487661	1572864	31113200
854668	503400000	1696	103	491567	1572864	31113200
860892	507400000	1696	131	495473	1572864	31113200
867182	511400000	1696	95	499379	1572864	31113200
873417	515400000	1696	96	503285	1572864	31113200
879656	519400000	1696	113	507191	1572864	31113200
885880	523400000	1696	113	511096	1572864	31113200
892056	527400000	1696	91	515002	1572864	31113200
897574	531400000	1696	91	518908	1572864	31113200
903376	535400000	1696	91	522814	1572864	31113200
909663	539400000	1696	104	526720	1572864	31113200
916087	543400000	1696	95	530626	1572864	31113200
922675	547400000	1696	112	534532	1572864	31113200
934069	551400000	1696	110	538438	1572864	31113200
940477	555400000	1696	113	542344	1572864	31113200
947116	559400000	1696	94	546250	1572864	31113200
953841	563400000	1696	94	550156	1572864	31113200
960168	567400000	1696	104	554062	1572864	31113200
966533	571400000	1696	113	557968	1572864	31113200
973018	575400000	1696	87	561874	1572864	31113200
979345	579400000	1696	94	565780	1572864	31113200
985622	583400000	1696	95	569686	1572864	31113200
991909	587400000	1696	113	573592	1572864	31113200
998093	591400000	1696	96	577498	1572864	31113200
1004526	595400000	1696	103	581404	1572864	31113200
1010459	599400000	1696	87	585310	1572864	31113200
1015704	603400000	1696	118	589216	1572864	31113200
1020928	607400000	1696	95	593122	1572864	31113200
1026205	611400000	1696	113	597028	1572864	31113200
1031448	615400000	1696	113	600934	1572864	31113200
1037113	619400000	1696	87	604840	1572864	31113200
1044720	623400000	1696	87	608746	1572864	31113200
1054313	627400000	1696	104	612652	1572864	31113200
1060269	631400000	1696	95	616558	1572864	31113200
1066060	635400000	1696	90	620464	1572864	31113200
1071287	639400000	1696	118	624370	1572864	31113200
