# tools/english/checked.tsv — nachgesehen und fuer harmlos befunden.
# Der Zielname kommt im selben Rumpf zwar vor, aber in einem anderen
# Namensraum (Aufzaehlungsvariante, Feldname, Typ) oder in einem anderen
# Block — er kann den umbenannten Namen nicht verdecken.
Rahmen	Frame
adr	addr
laen	len
pfad	path
wert	value
ziel	target
naechster	next
naechstes	next
anz	cnt
typ	ty
basis	base
