# firn-gc-soak v1 mode=1 (0=replace, 1=keep/must grow)
# columns: t_ms rounds rss_kib live heap_bytes live_bytes collections pause_win_ns mark_win_ns sweep_win_ns stop_win_ns full_runs overflows asked
0	0	1996	0	1843200	0	0	0	0	0	0	0	0	0
1043	5952	32852	16847	33386496	16277200	4	21328483	1239340	146561	21454364	0	0	16122792
2343	6592	43088	19058	43847680	25423200	5	72692017	2854423	121021	73211812	0	0	21378632
3614	6784	46160	21432	46993408	35236480	6	3332247	3332247	152961	129000502	0	0	22942136
5226	7360	55460	21432	56512512	35236480	6	131683714	4342075	0	132613851	0	0	27715512
6577	7488	57492	21432	58593280	35236480	6	3747101	3747101	0	3748791	0	0	28739688
7960	7616	59488	23945	60637184	45670832	7	3949552	3949552	159371	201653669	0	0	29781136
9335	8128	68840	23945	70209536	45670832	7	184964064	3964082	0	185802801	0	0	34002544
10956	8256	70720	23945	72134656	45670832	7	6551423	6551423	0	6552703	0	0	34961568
12662	8384	72644	23945	74104832	45670832	7	7119458	7119458	0	7120828	0	0	36109840
14174	8512	74456	26587	75960320	56141136	8	4878650	4878650	142361	285035573	0	0	37160752
15311	9024	81612	26587	83279872	56141136	8	217065613	3467988	0	218102591	0	0	41326008
16959	9152	83552	26587	85266432	56141136	8	7414590	7414590	0	7416000	0	0	42505024
17968	9216	84472	26587	86208512	56141136	8	5700766	5700766	0	5702726	0	0	43037688
18986	9280	85412	26587	87171072	56141136	8	5576565	5576565	0	5588545	0	0	43591712
20022	9344	86544	26587	88334336	56141136	8	5731206	5731206	0	5749556	0	0	44111320
21057	9408	87420	26587	89231360	56141136	8	7631311	7631311	0	7642321	0	0	44616344
22121	9472	88328	29515	90161152	67180240	9	6820756	6820756	131091	335128197	0	0	45158888
23412	10048	96364	29515	98385920	67180240	9	254914819	4099513	0	256185370	0	0	49792944
25242	10176	98128	29515	100192256	67180240	9	6428602	6428602	0	6429942	0	0	50815760
26397	10240	99056	29515	101142528	67180240	9	6294801	6294801	0	6304191	0	0	51350760
27604	10304	99924	29515	102031360	67180240	9	6780205	6780205	0	6801495	0	0	51847712
28810	10368	100892	29515	103022592	67180240	9	8136055	8136055	0	8137255	0	0	52397520
30029	10432	102076	29515	104239104	67180240	9	6741585	6741585	0	6743005	0	0	52948704
# done rounds=10432 t_ms=30029 asked=52948704 rss_kib=102076 len=10816 pause_max=254914819 stop_max=335128197 mark_max=8136055 sweep_max=159371 collections=9
