# firn-gc-pause v1
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
85	148000	1368	13	69	1310720	163292
86	149000	856	8	70	786432	163292
87	150000	1368	8	70	1310720	163292
87	151000	1368	17	71	1310720	163292
88	152000	1368	17	71	1310720	163292
88	153000	1368	13	72	1310720	163292
89	154000	1368	13	72	1310720	163292
89	155000	856	8	73	786432	163292
90	156000	1112	8	73	1048576	163292
90	157000	1368	17	74	1310720	163292
91	158000	1368	17	74	1310720	163292
91	159000	1368	13	75	1310720	163292
92	160000	1368	13	75	1310720	163292
92	161000	856	8	76	786432	163292
93	162000	1112	8	76	1048576	163292
94	163000	1368	17	77	1310720	163292
94	164000	1368	17	77	1310720	163292
95	165000	1368	13	78	1310720	163292
95	166000	1368	13	78	1310720	163292
96	167000	1368	13	78	1310720	163292
96	168000	856	8	79	786432	163292
97	169000	1368	8	79	1310720	163292
98	170000	1368	17	80	1310720	163292
98	171000	1368	17	80	1310720	163292
99	172000	1368	13	81	1310720	163292
99	173000	1368	13	81	1310720	163292
100	174000	856	8	82	786432	163292
101	175000	1112	8	82	1048576	163292
101	176000	1368	17	83	1310720	163292
102	177000	1368	17	83	1310720	163292
102	178000	1368	13	84	1310720	163292
103	179000	1368	13	84	1310720	163292
103	180000	856	8	85	786432	163292
104	181000	1112	8	85	1048576	163292
104	182000	1368	17	86	1310720	163292
105	183000	1368	17	86	1310720	163292
105	184000	1368	13	87	1310720	163292
106	185000	1368	13	87	1310720	163292
106	186000	1368	13	87	1310720	163292
107	187000	856	8	88	786432	163292
107	188000	1368	8	88	1310720	163292
108	189000	1368	17	89	1310720	163292
108	190000	1368	17	89	1310720	163292
109	191000	1368	13	90	1310720	163292
109	192000	1368	13	90	1310720	163292
110	193000	856	8	91	786432	165022
110	194000	1112	8	91	1048576	165022
111	195000	1368	17	92	1310720	165022
112	196000	1368	17	92	1310720	165022
112	197000	1368	13	93	1310720	165022
113	198000	1368	13	93	1310720	165022
113	199000	856	8	94	786432	165022
114	200000	1112	8	94	1048576	165022
114	201000	1368	17	95	1310720	165022
115	202000	1368	17	95	1310720	165022
