1	1000	10332	105065	4	10485760	11357446
2	2000	10844	105065	4	11010048	11357446
3	3000	11356	105065	4	11534336	11357446
3	4000	11868	105065	4	12058624	11357446
4	5000	12380	105065	4	12582912	11357446
5	6000	12892	105065	4	13107200	11357446
69	7000	13148	120248	5	13369344	11357446
69	8000	13148	120248	5	13369344	11357446
69	9000	13148	120248	5	13369344	11357446
70	10000	13148	120248	5	13369344	11357446
70	11000	13148	120248	5	13369344	11357446
71	12000	13148	120248	5	13369344	11357446
71	13000	13148	120248	5	13369344	11357446
72	14000	13660	120248	5	13893632	11357446
140	15000	12892	120257	6	13107200	11357446
140	16000	12892	120257	6	13107200	11357446
141	17000	12892	120257	6	13107200	11357446
141	18000	12892	120257	6	13107200	11357446
142	19000	12892	120257	6	13107200	11357446
142	20000	13148	120257	6	13369344	11357446
143	21000	13404	120257	6	13631488	11357446
143	22000	13660	120257	6	13893632	11357446
144	23000	13916	120257	6	14155776	11357446
210	24000	13404	120261	7	13631488	11357446
211	25000	13404	120261	7	13631488	11357446
211	26000	13404	120261	7	13631488	11357446
211	27000	13404	120261	7	13631488	11357446
212	28000	13404	120261	7	13631488	11357446
212	29000	13404	120261	7	13631488	11357446
212	30000	13404	120261	7	13631488	11357446
213	31000	13660	120261	7	13893632	11357446
283	32000	12892	120265	8	13107200	11357446
284	33000	12892	120265	8	13107200	11357446
284	34000	12892	120265	8	13107200	11357446
284	35000	12892	120265	8	13107200	11357446
285	36000	12892	120265	8	13107200	11357446
285	37000	13148	120265	8	13369344	11357446
286	38000	13404	120265	8	13631488	11357446
287	39000	13916	120265	8	14155776	11357446
287	40000	14172	120265	8	14417920	11357446
359	41000	13404	120262	9	13631488	11357446
359	42000	13404	120262	9	13631488	11357446
359	43000	13404	120262	9	13631488	11357446
360	44000	13404	120262	9	13631488	11357446
360	45000	13404	120262	9	13631488	11357446
361	46000	13404	120262	9	13631488	11357446
361	47000	13660	120262	9	13893632	11357446
362	48000	13660	120262	9	13893632	11357446
431	49000	13404	120261	10	13631488	11357446
432	50000	13404	120261	10	13631488	11357446
432	51000	13404	120261	10	13631488	11357446
433	52000	13404	120261	10	13631488	11357446
433	53000	13404	120261	10	13631488	11357446
433	54000	13404	120261	10	13631488	11357446
434	55000	13660	120261	10	13893632	11357446
435	56000	13916	120261	10	14155776	11357446
435	57000	14172	120261	10	14417920	11357446
502	58000	13404	120265	11	13631488	11357446
503	59000	13404	120265	11	13631488	11357446
503	60000	13404	120265	11	13631488	11357446
504	61000	13404	120265	11	13631488	11357446
504	62000	13404	120265	11	13631488	11357446
505	63000	13404	120265	11	13631488	11357446
505	64000	13660	120265	11	13893632	11357446
506	65000	13916	120265	11	14155776	11357446
576	66000	13148	120257	12	13369344	11357446
577	67000	13148	120257	12	13369344	11357446
578	68000	13148	120257	12	13369344	11357446
578	69000	13148	120257	12	13369344	11357446
578	70000	13148	120257	12	13369344	11357446
579	71000	13404	120257	12	13631488	11357446
579	72000	13660	120257	12	13893632	11357446
580	73000	13916	120257	12	14155776	11357446
582	74000	14172	120257	12	14417920	11357446
648	75000	13404	120262	13	13631488	11357446
649	76000	13404	120262	13	13631488	11357446
649	77000	13404	120262	13	13631488	11357446
650	78000	13404	120262	13	13631488	11357446
650	79000	13404	120262	13	13631488	11357446
650	80000	13404	120262	13	13631488	11357446
651	81000	13660	120262	13	13893632	11357446
651	82000	13660	120262	13	13893632	11357446
717	83000	13148	120261	14	13369344	11357446
718	84000	13148	120261	14	13369344	11357446
718	85000	13148	120261	14	13369344	11357446
719	86000	13148	120261	14	13369344	11357446
719	87000	13148	120261	14	13369344	11357446
719	88000	13148	120261	14	13369344	11357446
720	89000	13404	120261	14	13631488	11357446
721	90000	13660	120261	14	13893632	11357446
749	91000	13916	120261	14	14155776	11357446
787	92000	13148	120265	15	13369344	11357446
787	93000	13148	120265	15	13369344	11357446
788	94000	13148	120265	15	13369344	11357446
788	95000	13148	120265	15	13369344	11357446
788	96000	13148	120265	15	13369344	11357446
789	97000	13148	120265	15	13369344	11357446
789	98000	13404	120265	15	13631488	11357446
790	99000	13660	120265	15	13893632	11357446
857	100000	12892	120262	16	13107200	11357446
858	101000	12892	120262	16	13107200	11357446
858	102000	12892	120262	16	13107200	11357446
859	103000	12892	120262	16	13107200	11357446
859	104000	12892	120262	16	13107200	11357446
860	105000	13148	120262	16	13369344	11357446
860	106000	13404	120262	16	13631488	11357446
861	107000	13660	120262	16	13893632	11357446
913	108000	13916	120262	16	14155776	11357446
927	109000	13148	120266	17	13369344	11357446
927	110000	13148	120266	17	13369344	11357446
928	111000	13148	120266	17	13369344	11357446
928	112000	13148	120266	17	13369344	11357446
929	113000	13148	120266	17	13369344	11357446
929	114000	13148	120266	17	13369344	11357446
929	115000	13404	120266	17	13631488	11357446
930	116000	13660	120266	17	13893632	11357446
1006	117000	12892	120257	18	13107200	11357446
1006	118000	12892	120257	18	13107200	11357446
1007	119000	12892	120257	18	13107200	11357446
1007	120000	12892	120257	18	13107200	11357446
1008	121000	12892	120257	18	13107200	11357446
1008	122000	13148	120257	18	13369344	11357446
1009	123000	13404	120257	18	13631488	11357446
1010	124000	13660	120257	18	13893632	11357446
1078	125000	13404	120261	19	13631488	11357446
1078	126000	13404	120261	19	13631488	11357446
1079	127000	13404	120261	19	13631488	11357446
1079	128000	13404	120261	19	13631488	11357446
1079	129000	13404	120261	19	13631488	11357446
1080	130000	13404	120261	19	13631488	11357446
1080	131000	13404	120261	19	13631488	11357446
1081	132000	13660	120261	19	13893632	11357446
1081	133000	13660	120261	19	13893632	11357446
1148	134000	12892	120265	20	13107200	11357446
1148	135000	12892	120265	20	13107200	11357446
1149	136000	12892	120265	20	13107200	11357446
1149	137000	12892	120265	20	13107200	11357446
1150	138000	12892	120265	20	13107200	11357446
1150	139000	13148	120265	20	13369344	11357446
1151	140000	13404	120265	20	13631488	11357446
1151	141000	13916	120265	20	14155776	11357446
1223	142000	13404	120262	21	13631488	11357446
1224	143000	13404	120262	21	13631488	11357446
1224	144000	13404	120262	21	13631488	11357446
1225	145000	13404	120262	21	13631488	11357446
1225	146000	13404	120262	21	13631488	11357446
1225	147000	13404	120262	21	13631488	11357446
1226	148000	13404	120262	21	13631488	11357446
1226	149000	13660	120262	21	13893632	11357446
1227	150000	13916	120262	21	14155776	11357446
1295	151000	13404	120261	22	13631488	11357446
1295	152000	13404	120261	22	13631488	11357446
1295	153000	13404	120261	22	13631488	11357446
1296	154000	13404	120261	22	13631488	11357446
1296	155000	13404	120261	22	13631488	11357446
1297	156000	13404	120261	22	13631488	11357446
1297	157000	13660	120261	22	13893632	11357446
1298	158000	13916	120261	22	14155776	11357446
1369	159000	13404	120265	23	13631488	11357446
1369	160000	13404	120265	23	13631488	11357446
1370	161000	13404	120265	23	13631488	11357446
1370	162000	13404	120265	23	13631488	11357446
1371	163000	13404	120265	23	13631488	11357446
