# firn-gc-phasen v1
# spalten: runde	phase	rss_kib	heap_bytes	lebende	sammellaeufe
172	1	14400	14680064	4891	18
173	1	14400	14680064	4934	19
174	1	14400	14680064	4934	19
175	1	14400	14680064	4934	19
176	1	14400	14680064	4934	19
177	1	14400	14680064	4934	19
178	1	14400	14680064	4934	19
179	1	14400	14680064	4934	19
180	1	14400	14680064	4934	19
181	1	14400	14680064	4934	19
182	1	14400	14680064	4934	19
183	1	14400	14680064	4977	20
184	1	14400	14680064	4977	20
185	1	14400	14680064	4977	20
186	1	14400	14680064	4977	20
187	1	14400	14680064	4977	20
188	1	14400	14680064	4977	20
189	1	14400	14680064	4977	20
190	1	14400	14680064	4977	20
191	1	14400	14680064	4977	20
192	1	14400	14680064	4977	20
193	1	14400	14680064	4977	20
194	1	14400	14680064	4820	21
195	1	14400	14680064	4820	21
196	1	14400	14680064	4820	21
197	1	14400	14680064	4820	21
198	1	14400	14680064	4820	21
199	1	14400	14680064	4820	21
200	1	14400	14680064	4820	21
201	1	14400	14680064	4820	21
202	1	14400	14680064	4820	21
203	1	14400	14680064	4820	21
204	1	14400	14680064	4863	22
205	1	14400	14680064	4863	22
206	1	14400	14680064	4863	22
207	1	14400	14680064	4863	22
208	1	14400	14680064	4863	22
209	1	14400	14680064	4863	22
210	1	14400	14680064	4863	22
211	1	14400	14680064	4863	22
212	1	14400	14680064	4863	22
213	1	14400	14680064	4863	22
214	1	14400	14680064	4906	23
215	1	14400	14680064	4906	23
216	1	14400	14680064	4906	23
217	1	14400	14680064	4906	23
218	1	14400	14680064	4906	23
219	1	14400	14680064	4906	23
220	1	14400	14680064	4906	23
221	1	14400	14680064	4906	23
222	1	14400	14680064	4906	23
223	1	14400	14680064	4906	23
224	1	14400	14680064	4949	24
225	1	14400	14680064	4949	24
226	1	14400	14680064	4949	24
227	1	14400	14680064	4949	24
228	1	14400	14680064	4949	24
229	1	14400	14680064	4949	24
230	1	14400	14680064	4949	24
231	1	14400	14680064	4949	24
232	1	14400	14680064	4949	24
233	1	14400	14680064	4949	24
234	1	14400	14680064	4992	25
235	1	14400	14680064	4992	25
236	1	14400	14680064	4992	25
237	1	14400	14680064	4992	25
238	1	14400	14680064	4992	25
239	1	14400	14680064	4992	25
240	1	14400	14680064	4992	25
241	1	14400	14680064	4992	25
242	1	14400	14680064	4992	25
243	1	14400	14680064	4992	25
244	1	14400	14680064	4992	25
245	1	14400	14680064	4835	26
246	1	14400	14680064	4835	26
247	1	14400	14680064	4835	26
248	1	14400	14680064	4835	26
249	1	14400	14680064	4835	26
250	1	14400	14680064	4835	26
251	1	14400	14680064	4835	26
252	1	14400	14680064	4835	26
253	1	14400	14680064	4835	26
254	1	14400	14680064	4835	26
255	1	14144	14417920	4878	27
256	1	14144	14417920	4878	27
257	1	14144	14417920	4878	27
258	1	14144	14417920	4878	27
259	1	14144	14417920	4878	27
260	1	14144	14417920	4878	27
261	1	14144	14417920	4878	27
262	1	14144	14417920	4878	27
263	1	14144	14417920	4878	27
264	1	14144	14417920	4878	27
265	1	14144	14417920	4922	28
266	1	14144	14417920	4922	28
267	1	14144	14417920	4922	28
268	1	14144	14417920	4922	28
269	1	14144	14417920	4922	28
270	1	14144	14417920	4922	28
271	1	14144	14417920	4922	28
272	1	14144	14417920	4922	28
273	1	14144	14417920	4922	28
274	1	14144	14417920	4922	28
275	1	14400	14680064	4965	29
276	1	14400	14680064	4965	29
277	1	14400	14680064	4965	29
278	1	14400	14680064	4965	29
279	1	14400	14680064	4965	29
280	1	14400	14680064	4965	29
281	1	14400	14680064	4965	29
282	1	14400	14680064	4965	29
283	1	14400	14680064	4965	29
284	1	14400	14680064	4965	29
285	1	14400	14680064	4965	29
286	1	14400	14680064	5008	30
287	1	14400	14680064	5008	30
288	1	14400	14680064	5008	30
289	1	14400	14680064	5008	30
290	1	14400	14680064	5008	30
291	1	14400	14680064	5008	30
292	1	14400	14680064	5008	30
293	1	14400	14680064	5008	30
294	1	14400	14680064	5008	30
295	1	14400	14680064	5008	30
296	1	14400	14680064	4851	31
297	1	14400	14680064	4851	31
298	1	14400	14680064	4851	31
299	1	14400	14680064	4851	31
0	2	14656	14942208	4851	31
1	2	14656	14942208	4851	31
2	2	14656	14942208	4851	31
3	2	14656	14942208	4851	31
4	2	14656	14942208	4851	31
5	2	14656	14942208	4851	31
6	2	14656	14942208	4851	31
7	2	14656	14942208	4851	31
8	2	14656	14942208	4851	31
9	2	14656	14942208	4851	31
10	2	14656	14942208	4851	31
11	2	14656	14942208	4851	31
12	2	14656	14942208	4851	31
13	2	14656	14942208	4851	31
14	2	14656	14942208	4851	31
15	2	14656	14942208	4851	31
16	2	14656	14942208	4851	31
17	2	14656	14942208	4851	31
18	2	14656	14942208	4851	31
19	2	14656	14942208	4851	31
20	2	14912	15204352	4851	31
21	2	14912	15204352	4851	31
22	2	14912	15204352	4851	31
23	2	14912	15204352	4851	31
24	2	14912	15204352	4851	31
25	2	14912	15204352	4851	31
26	2	14912	15204352	4851	31
27	2	14912	15204352	4851	31
28	2	14912	15204352	4851	31
29	2	14912	15204352	4851	31
30	2	14912	15204352	4851	31
31	2	14912	15204352	4851	31
32	2	14912	15204352	4851	31
33	2	14912	15204352	4851	31
34	2	14912	15204352	4851	31
35	2	14912	15204352	4851	31
36	2	14912	15204352	4851	31
37	2	14912	15204352	4851	31
38	2	14912	15204352	4851	31
39	2	14912	15204352	4851	31
40	2	15168	15466496	4851	31
41	2	15168	15466496	4851	31
42	2	15168	15466496	4851	31
43	2	15168	15466496	4851	31
44	2	15168	15466496	4851	31
45	2	15168	15466496	4851	31
46	2	15168	15466496	4851	31
47	2	15168	15466496	4851	31
48	2	15168	15466496	4851	31
49	2	15168	15466496	4851	31
50	2	15168	15466496	4851	31
51	2	15168	15466496	4851	31
52	2	15168	15466496	4851	31
53	2	15168	15466496	4851	31
54	2	15168	15466496	4851	31
55	2	15168	15466496	4851	31
56	2	15168	15466496	4851	31
57	2	15168	15466496	4851	31
58	2	15168	15466496	4851	31
59	2	15168	15466496	4851	31
60	2	15168	15466496	4851	31
61	2	15424	15728640	4851	31
62	2	15424	15728640	4851	31
63	2	15424	15728640	4851	31
64	2	15424	15728640	4851	31
65	2	15424	15728640	4851	31
66	2	15424	15728640	4851	31
67	2	15424	15728640	4851	31
68	2	15424	15728640	4851	31
69	2	15424	15728640	4851	31
70	2	15424	15728640	4851	31
71	2	15424	15728640	4851	31
72	2	15424	15728640	4851	31
73	2	15424	15728640	4851	31
74	2	15424	15728640	4851	31
75	2	15424	15728640	4851	31
76	2	15424	15728640	4851	31
77	2	15424	15728640	4851	31
78	2	15424	15728640	4851	31
79	2	15424	15728640	4851	31
80	2	15424	15728640	4851	31
81	2	15680	15990784	4851	31
82	2	15680	15990784	4851	31
83	2	15680	15990784	4851	31
84	2	15680	15990784	4851	31
85	2	15680	15990784	4851	31
86	2	15680	15990784	4851	31
87	2	15680	15990784	4851	31
88	2	15680	15990784	4851	31
89	2	15680	15990784	4851	31
90	2	15680	15990784	4851	31
91	2	15680	15990784	4851	31
92	2	15680	15990784	4851	31
93	2	15680	15990784	4851	31
94	2	15680	15990784	4851	31
95	2	15680	15990784	4851	31
96	2	15680	15990784	4851	31
97	2	15680	15990784	4851	31
98	2	15680	15990784	4851	31
99	2	15680	15990784	4851	31
100	2	15680	15990784	4851	31
101	2	15680	15990784	4851	31
102	2	15936	16252928	4851	31
103	2	15936	16252928	4851	31
104	2	15936	16252928	4851	31
105	2	15936	16252928	4851	31
106	2	15936	16252928	4851	31
107	2	15936	16252928	4851	31
108	2	15936	16252928	4851	31
109	2	15936	16252928	4851	31
110	2	15936	16252928	4851	31
111	2	15936	16252928	4851	31
112	2	15936	16252928	4851	31
113	2	15936	16252928	4851	31
114	2	15936	16252928	4851	31
115	2	15936	16252928	4851	31
116	2	15936	16252928	4851	31
117	2	15936	16252928	4851	31
118	2	15936	16252928	4851	31
119	2	15936	16252928	4851	31
120	2	15936	16252928	4851	31
121	2	15936	16252928	4851	31
122	2	16192	16515072	4851	31
123	2	16192	16515072	4851	31
124	2	16192	16515072	4851	31
125	2	16192	16515072	4851	31
126	2	16192	16515072	4851	31
127	2	16192	16515072	4851	31
128	2	16192	16515072	4851	31
129	2	16192	16515072	4851	31
130	2	16192	16515072	4851	31
131	2	16192	16515072	4851	31
132	2	16192	16515072	4851	31
133	2	16192	16515072	4851	31
134	2	16192	16515072	4851	31
135	2	16192	16515072	4851	31
136	2	16192	16515072	4851	31
137	2	16192	16515072	4851	31
138	2	16192	16515072	4851	31
139	2	16192	16515072	4851	31
140	2	16192	16515072	4851	31
141	2	16192	16515072	4851	31
142	2	16192	16515072	4851	31
143	2	16448	16777216	4851	31
144	2	16448	16777216	4851	31
145	2	16448	16777216	4851	31
146	2	16448	16777216	4851	31
147	2	16448	16777216	4851	31
148	2	16448	16777216	4851	31
149	2	16448	16777216	4851	31
150	2	16448	16777216	4851	31
151	2	16448	16777216	4851	31
152	2	16448	16777216	4851	31
153	2	16448	16777216	4851	31
154	2	16448	16777216	4851	31
155	2	16448	16777216	4851	31
