# firn-gc-pause-gross v1
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
1298	129000	13404	120787	19	13631488	11672367
1299	130000	13404	120787	19	13631488	11672367
1299	131000	13404	120787	19	13631488	11672367
1300	132000	13404	120787	19	13631488	11672367
1300	133000	13404	120787	19	13631488	11672367
1301	134000	13660	120787	19	13893632	11672367
1384	135000	12636	120775	20	12845056	11672367
1384	136000	12636	120775	20	12845056	11672367
1385	137000	12636	120775	20	12845056	11672367
1385	138000	12636	120775	20	12845056	11672367
1386	139000	12892	120775	20	13107200	11672367
1387	140000	13148	120775	20	13369344	11672367
1387	141000	13404	120775	20	13631488	11672367
1388	142000	13916	120775	20	14155776	11672367
1389	143000	14172	120775	20	14417920	11672367
1474	144000	13660	120790	21	13893632	11672367
1474	145000	13660	120790	21	13893632	11672367
1475	146000	13660	120790	21	13893632	11672367
1475	147000	13660	120790	21	13893632	11672367
1476	148000	13660	120790	21	13893632	11672367
1476	149000	13660	120790	21	13893632	11672367
1477	150000	13660	120790	21	13893632	11672367
1477	151000	13916	120790	21	14155776	11672367
1564	152000	12636	120806	22	12845056	11672367
1564	153000	12636	120806	22	12845056	11672367
1565	154000	12636	120806	22	12845056	11672367
1565	155000	12636	120806	22	12845056	11672367
1566	156000	12636	120806	22	12845056	11672367
1566	157000	12892	120806	22	13107200	11672367
1567	158000	13404	120806	22	13631488	11672367
1568	159000	13916	120806	22	14155776	11672367
1569	160000	14172	120806	22	14417920	11672367
1657	161000	13404	120828	23	13631488	11672367
1658	162000	13404	120828	23	13631488	11672367
1658	163000	13404	120828	23	13631488	11672367
1659	164000	13404	120828	23	13631488	11672367
1659	165000	13404	120828	23	13631488	11672367
1660	166000	13404	120828	23	13631488	11672367
1660	167000	13404	120828	23	13631488	11672367
1661	168000	13660	120828	23	13893632	11672367
1744	169000	12380	120775	24	12582912	11672367
1744	170000	12380	120775	24	12582912	11672367
1745	171000	12380	120775	24	12582912	11672367
1745	172000	12380	120775	24	12582912	11672367
1746	173000	12636	120775	24	12845056	11672367
1747	174000	12892	120775	24	13107200	11672367
1747	175000	13148	120775	24	13369344	11672367
1748	176000	13404	120775	24	13631488	11672367
1749	177000	13916	120775	24	14155776	11672367
1831	178000	13148	120771	25	13369344	11672367
1832	179000	13148	120771	25	13369344	11672367
1832	180000	13148	120771	25	13369344	11672367
1833	181000	13148	120771	25	13369344	11672367
1833	182000	13148	120771	25	13369344	11672367
1834	183000	13148	120771	25	13369344	11672367
1834	184000	13148	120771	25	13369344	11672367
1835	185000	13660	120771	25	13893632	11672367
