# firn-baum-soak v1
# spalten: t_ms	runden	knoten	rss_kib	lebende	laeufe	heap_bytes	pause_max_ns
115	500	62	6996	44698	3	6553600	464645
239	1000	62	12888	89370	4	12582912	464645
518	1500	62	19036	179760	6	18874368	1305612
806	2000	62	24672	225850	7	24641536	3360632
1669	2500	62	30820	321029	9	30932992	3438393
2382	3000	62	36968	370428	10	37224448	5742095
# angelegt=387000 lebende=370428 leck=1
# fertig
