# firn-baum-soak v1
# spalten: t_ms	runden	knoten	rss_kib	lebende	laeufe	heap_bytes	pause_max_ns
88	500	62	2136	675	5	1572864	281802
172	1000	62	2136	617	11	1572864	281802
256	1500	62	2140	690	17	1572864	299933
340	2000	62	2140	628	23	1572864	299933
424	2500	62	2140	545	28	1572864	299933
509	3000	62	2140	741	34	1572864	299933
593	3500	62	2140	424	40	1572864	299933
675	4000	62	2140	493	46	1572864	299933
# angelegt=512000 lebende=493 leck=0
# fertig
