# firn-gc-frag v1 mode=1 (0=replace/flat, 1=keep/must grow)
# columns: t_ms rounds rss_kib live heap_bytes live_bytes collections pause_ns_max asked
0	0	1916	0	1843200	0	0	0	0
2	500	1928	0	1855488	0	0	0	18144
2	1000	1948	0	1875968	0	0	0	36360
2	1500	1948	0	1875968	0	0	0	53832
3	2000	2240	0	2174976	0	0	0	71840
3	2500	2496	0	2437120	0	0	0	89672
3	3000	2496	0	2437120	0	0	0	107376
3	3500	2496	0	2437120	0	0	0	125072
4	4000	2564	0	2506752	0	0	0	142912
92	4500	9344	14654	9392128	7254944	3	2592604	4282096
179	5000	17288	14654	17522688	7254944	3	6181389	8344160
284	5500	25492	16669	25923584	15596912	4	6181389	12423384
940	6000	33568	18845	34189312	24577392	5	18652528	16524944
2236	6500	41540	18845	42348544	24577392	5	71170477	20633424
3423	7000	49628	21199	50630656	34258640	6	71170477	24766688
7305	7500	57604	21199	58789888	34258640	6	138515958	28843312
8311	8000	65968	23678	67346432	44609440	7	183405505	32945296
13161	8500	74180	26316	75759616	55188000	8	183405505	37017696
15139	9000	81192	26316	82935808	55188000	8	236586112	41114536
22058	9500	88672	29219	90599424	66134576	9	236586112	45408016
30352	10000	95616	29219	97701888	66134576	9	580634554	49381392
41544	10500	102948	32433	105213952	78157424	10	580634554	53494296
43211	11000	110080	32433	112508928	78157424	10	580634554	57510632
53101	11500	117296	32433	119902208	78157424	10	580634554	61586928
54507	12000	124564	35801	127332352	90600400	11	580634554	65651168
62287	12500	126688	35801	129511424	90600400	11	580634554	67176408
68681	13000	128544	39442	131411968	98124160	12	580634554	68489016
68684	13500	130620	39442	133541888	98124160	12	580634554	69812000
68688	14000	133036	39442	136019968	98124160	12	580634554	71377000
73608	14500	135156	39442	138178560	98124160	12	580634554	72856424
85277	15000	136828	46064	139890688	105401408	13	580634554	74207072
85280	15500	139404	46064	142532608	105401408	13	580634554	75662024
85283	16000	141632	46064	144818176	105401408	13	580634554	77086552
85284	16500	142148	46064	145346560	105401408	13	580634554	77232248
86362	17000	142168	46064	145346560	105401408	13	580634554	77374680
93239	17500	142936	46064	146132992	105401408	13	580634554	77509448
103455	18000	143192	54802	146395136	110345792	14	580634554	77651880
103456	18500	143448	54802	146657280	110345792	14	580634554	77796528
103457	19000	143704	54802	146919424	110345792	14	580634554	77938928
103457	19500	143960	54802	147181568	110345792	14	580634554	78073920
103458	20000	144472	54802	147705856	110345792	14	580634554	78218632
103458	20500	144472	54802	147705856	110345792	14	580634554	78236488
103458	21000	144728	54802	147968000	110345792	14	580634554	78255112
103459	21500	144984	54802	148230144	110345792	14	580634554	78273064
103459	22000	144984	54802	148230144	110345792	14	580634554	78290432
103459	22500	144984	54802	148230144	110345792	14	580634554	78308504
103460	23000	144984	54802	148230144	110345792	14	580634554	78327168
103460	23500	145240	54802	148492288	110345792	14	580634554	78345352
103460	24000	145240	54802	148492288	110345792	14	580634554	78364096
104511	24500	153560	54802	156954624	110345792	14	580634554	82461384
109234	25000	161528	54802	165113856	110345792	14	580634554	86533624
123748	25500	169536	54802	173314048	110345792	14	580634554	90636608
# done rounds=25500 t_ms=123748 asked=90636608 rss_kib=169536 len=25884
