# firn-gc-frag v1 mode=0 (0=replace/flat, 1=keep/must grow)
# columns: t_ms rounds rss_kib live heap_bytes live_bytes collections pause_ns_max asked
2376	48500	15312	2079	15536128	5054736	80	15245852	193799400
4767	98500	4844	1982	4820992	412992	160	15245852	389557528
7196	148500	16936	2082	17199104	5215424	241	15245852	582584272
9688	198500	3136	1978	3072000	353600	322	15245852	777965688
12018	248500	21020	2085	21381120	5226352	402	15245852	972259408
14441	298500	3616	1968	3563520	346720	485	21456900	1168978632
16977	348500	16100	2081	16343040	5250352	566	21456900	1363209336
19481	398500	4416	1975	4382720	371312	646	21456900	1558469056
21896	448500	15592	2077	15822848	5158096	727	21456900	1752180248
24211	498500	2932	1966	2859008	347072	808	21456900	1946652016
27532	548500	19544	2089	19869696	5200784	887	34038657	2139358352
32437	598500	3732	1973	3682304	356368	968	36187237	2335769640
39114	648500	17608	2062	17887232	5085856	1048	58820818	2528519808
44044	698500	3152	1957	3088384	342800	1129	58820818	2723863072
53697	748500	18760	2086	19066880	5211872	1208	60910167	2916738880
56451	798500	3820	1980	3772416	376928	1289	60910167	3112351104
59129	848500	20656	2086	21008384	5291744	1368	60910167	3304762808
61866	898500	3300	1979	3239936	354800	1449	60910167	3500530720
65493	948500	15308	2090	15532032	4889056	1528	60910167	3692516600
69474	998500	2764	1980	2686976	369024	1608	60910167	3889027848
72322	1048500	15188	2094	15409152	5135936	1688	60910167	4081353544
75180	1098500	4636	1995	4608000	418064	1767	60910167	4277588376
78041	1148500	18376	2091	18673664	5149040	1847	60910167	4470760800
80904	1198500	4600	1989	4571136	452528	1928	60910167	4667082848
83590	1248500	19612	2089	19939328	5241872	2008	60910167	4859551760
86286	1298500	3356	1977	3297280	373456	2089	60910167	5054002992
90131	1348500	15824	2087	16060416	4972336	2170	60910167	5247479464
93703	1398500	2832	1979	2756608	365840	2250	60910167	5443602384
96571	1448500	17580	2085	17858560	5116240	2329	60910167	5636226136
99524	1498500	4484	1987	4452352	425136	2409	60910167	5830665576
102465	1548500	16036	2087	16277504	4853488	2489	60910167	6022934136
105414	1598500	4560	1992	4530176	386272	2568	60910167	6218011440
108359	1648500	18488	2090	18788352	5189536	2648	60910167	6411240488
111321	1698500	4552	1991	4521984	370224	2728	60910167	6606484032
114173	1748500	20480	2084	20828160	5239520	2807	60910167	6799321432
117112	1798500	3416	1979	3358720	371792	2888	60910167	6995660560
119940	1848500	19496	2081	19820544	5279472	2967	60910167	7188055480
122886	1898500	4420	1980	4386816	349472	3047	60910167	7383631504
125738	1948500	18636	2086	18939904	5399072	3127	60910167	7577814840
128652	1998500	2872	1979	2797568	369584	3208	60910167	7774113464
131510	2048500	18456	2065	18755584	5071824	3287	60910167	7967021296
134463	2098500	3312	1972	3252224	351296	3368	60910167	8162719016
137326	2148500	18044	2085	18333696	5275504	3447	60910167	8355917016
140301	2198500	4868	1997	4845568	463760	3527	60910167	8551431616
143175	2248500	14852	2086	15065088	5139552	3608	60910167	8744462152
146102	2298500	2856	1973	2785280	357072	3688	60910167	8940408936
149019	2348500	20336	2088	20680704	5152736	3766	60910167	9133297024
152003	2398500	2664	1974	2584576	369696	3847	60910167	9329118432
154876	2448500	17464	2087	17739776	5137168	3926	60910167	9521470744
157841	2498500	4876	1992	4853760	398944	4006	60910167	9716584200
160756	2548500	17080	2070	17346560	5080768	4086	60910167	9909736368
163733	2598500	2900	1974	2830336	356288	4166	60910167	10103283680
166627	2648500	18700	2086	19005440	4903456	4245	60910167	10296048504
169600	2698500	3200	1975	3137536	375632	4325	60910167	10491997248
172556	2748500	18540	2084	18841600	5247360	4404	60910167	10685187432
175464	2798500	2768	1977	2695168	357424	4486	60910167	10881697344
178267	2848500	17692	2088	17973248	5171328	4565	60910167	11074738416
181106	2898500	3616	1981	3563520	356784	4646	60910167	11270616144
183865	2948500	20380	2088	20725760	5339488	4726	60910167	11465011304
186749	2998500	4576	1990	4546560	458208	4807	60910167	11662961128
189533	3048500	18900	2090	19210240	5317888	4887	60910167	11855520352
192420	3098500	2692	1971	2613248	362384	4968	60910167	12052505376
195211	3148500	20476	2084	20824064	5312736	5046	60910167	12245734360
198096	3198500	4708	2000	4681728	436096	5126	60910167	12440861072
200965	3248500	19520	2083	19845120	5333072	5206	60910167	12633855104
203945	3298500	2548	1973	2465792	351856	5287	60910167	12829264224
206844	3348500	20148	2084	20488192	5313632	5365	60910167	13021439824
209782	3398500	3452	1981	3395584	370256	5446	60910167	13217347440
212597	3448500	20200	2087	20541440	5116816	5525	60910167	13410951800
215542	3498500	2856	1972	2785280	365792	5606	60910167	13606756256
218299	3548500	16812	2080	17072128	4874880	5686	60910167	13800419704
220881	3598500	4004	1967	3960832	367760	5766	60910167	13995708152
223371	3648500	19524	2061	19849216	5162608	5846	60910167	14188545328
226063	3698500	4376	1982	4341760	355200	5926	60910167	14382933640
229846	3748500	18852	2086	19161088	5239712	6005	60910167	14575188384
234702	3798500	3628	1970	3575808	344736	6085	60910167	14769940320
238492	3848500	20896	2082	21254144	5270464	6164	60910167	14962001688
241337	3898500	2728	1974	2650112	379680	6245	60910167	15157573736
244031	3948500	20240	2084	20582400	5350144	6324	60910167	15351146216
246797	3998500	4304	1979	4268032	357456	6404	60910167	15546826584
249510	4048500	19712	2085	20041728	5221520	6484	60910167	15740064504
252367	4098500	2884	1977	2809856	347600	6565	60910167	15935488344
255130	4148500	19732	2090	20062208	5282784	6644	60910167	16129070744
257974	4198500	4256	1979	4218880	383728	6723	60910167	16324111568
260718	4248500	17820	2090	18104320	5131168	6802	60910167	16517185520
263552	4298500	2596	1970	2514944	349280	6883	60910167	16711278304
266318	4348500	17892	2089	18178048	5032464	6962	60910167	16903211416
269198	4398500	4632	1983	4603904	368400	7042	60910167	17098472480
272009	4448500	19724	2085	20054016	5389808	7122	60910167	17291396600
274899	4498500	4404	1983	4370432	380016	7202	60910167	17487520920
277739	4548500	19992	2091	20328448	5299856	7281	60910167	17680480208
280663	4598500	4148	1982	4108288	364416	7361	60910167	17875707608
283534	4648500	15696	2088	15929344	5203328	7440	60910167	18068588136
286434	4698500	2908	1972	2838528	362816	7521	60910167	18265467400
289277	4748500	17152	2089	17420288	5034288	7600	60910167	18459317216
292139	4798500	3644	1979	3592192	410736	7680	60910167	18654234040
294903	4848500	18264	2081	18558976	5098608	7759	60910167	18846524952
297730	4898500	2748	1976	2670592	353408	7840	60910167	19042715560
300450	4948500	15720	2083	15953920	5065744	7920	60910167	19235810088
303122	4998500	4228	1982	4190208	390752	8000	60910167	19431438864
305753	5048500	17820	2087	18104320	5241360	8080	60910167	19624877216
308621	5098500	4136	1976	4096000	381536	8161	60910167	19821604664
311415	5148500	20888	2093	21245952	5218512	8239	60910167	20014375848
314243	5198500	4716	1978	4689920	387232	8319	60910167	20209918024
317093	5248500	16380	2064	16629760	4919328	8399	60910167	20402590480
