# firn-gc-soak v1 mode=0 (0=replace, 1=keep/must grow)
# columns: t_ms rounds rss_kib live heap_bytes live_bytes collections pause_win_ns mark_win_ns sweep_win_ns stop_win_ns full_runs overflows asked
0	0	1952	0	1843200	0	0	0	0	0	0	0	0	0
5124	38912	15444	7664	15687680	6538528	54	22037990	5052226	225212	26421230	0	0	154596824
10271	78848	31384	7682	32010240	11617088	85	22668117	5281998	258912	22944219	0	0	265885400
15519	107520	25624	7683	26103808	10919408	117	23933508	5995984	238272	29342318	0	0	385179144
20910	149504	28800	10869	29384704	14646960	149	24163890	8197515	234582	28258947	0	0	498575512
26155	179200	25132	7683	25604096	10752720	183	22729937	10392655	230392	32152723	0	0	625207984
31498	222208	28144	7683	28692480	11568208	217	22233873	5850864	242342	22806908	0	0	746889936
36629	250880	24172	7681	24616960	10866160	250	33932509	5304968	3094628	34234071	0	0	865819512
42025	293888	31740	7666	32370688	11224480	284	24057799	8741509	253022	29198146	0	0	986641368
47353	323584	23072	7676	23490560	10950752	319	22384714	4159258	242052	22792057	0	0	1114555576
52859	366592	27148	7680	27664384	11683296	353	25686284	8199545	255642	26030517	0	0	1235038872
57990	395264	29740	7658	30318592	10950944	385	24608504	6378348	256802	30990022	0	0	1354042424
63435	438272	31224	7678	31842304	11584256	419	22996470	5431510	270592	23332393	0	0	1474731288
68798	467968	28112	7682	28651520	10801696	453	24798006	4736423	248262	25229900	0	0	1601924560
73989	509952	24656	7679	25112576	11398704	486	23467873	5295469	256772	23988398	0	0	1713672488
79235	539648	28788	7680	29347840	11075616	520	23434133	6952093	259782	30389497	0	0	1841952136
84494	562176	31276	10889	31924224	14056560	538	30006533	14849025	243042	43505766	0	0	1910942192
89495	598016	10444	4930	10579968	3281056	569	22815278	7319887	247402	27067007	0	0	2020025352
94725	630784	24568	7682	25018368	11636512	598	22826138	6802302	221232	28126276	0	0	2124964096
99833	659456	24420	7680	24875008	10760896	630	24790206	8259445	234002	33052741	0	0	2244447888
105294	702464	30260	7678	30846976	11531264	664	22875819	6193016	244062	27010506	0	0	2364971960
110514	731136	29808	7681	30392320	11011216	696	22949009	5988065	239483	28940474	0	0	2483971240
115547	765952	10436	5639	10567680	3823824	725	22479455	6516469	264413	27375449	0	0	2585087912
120761	798720	28656	7681	29208576	11513744	753	23672566	6707511	253263	30384337	0	0	2689502000
125860	827392	23320	7681	23744512	10874928	786	22115802	5887913	226422	28007005	0	0	2808112272
131396	870400	25212	7679	25677824	11416368	820	23963458	6439408	312113	29349057	0	0	2927865432
136994	897024	28200	10891	28762112	14139504	847	29484748	14470121	235213	43149843	0	0	3030452608
142050	927744	16568	7696	16834560	6545600	877	24141940	8670279	253963	24571714	0	0	3146168232
147144	966656	30272	7681	30859264	11402864	907	22453855	6142626	294122	25444352	0	0	3253240264
152477	996352	20876	7689	21237760	8577328	941	30371426	4256069	3078288	33609756	0	0	3378384504
157488	1040384	29996	7682	30588928	11467840	977	19779420	3713464	373934	20153243	0	0	3509052424
162761	1086464	30528	7678	31133696	11539744	1018	21482936	5663772	403433	26650363	0	0	3654651792
168156	1134592	27196	7679	27717632	11463472	1064	16527260	4190778	219912	19635489	0	0	3817541584
173520	1182720	28544	7680	29097984	11452832	1109	18663150	5204198	213502	18915752	0	0	3980008904
178931	1230848	31808	7492	32448512	10716064	1154	18993133	4143958	262032	19272225	0	0	4143309736
184129	1277952	31916	7667	32550912	11387856	1198	17202246	4460061	214522	21433305	0	0	4299451320
189179	1326080	28328	7673	28872704	11366992	1244	15365760	4918875	419154	17999864	0	0	4462591768
194228	1373184	25828	7611	26312704	10665584	1287	18043474	4504971	349574	18416747	0	0	4616768248
199234	1406976	17288	7703	17571840	6524912	1326	16989975	4664063	296913	21664198	0	0	4761941592
204792	1447936	38668	10889	39489536	14827344	1358	22775677	4961205	237772	26859974	0	0	4881948080
209937	1495040	26044	7676	26525696	11758432	1401	16978864	4353480	230602	21218403	0	0	5035779080
215160	1543168	27072	7676	27582464	11779392	1446	15805654	4642002	251922	17297758	0	0	5197427136
220484	1591296	27132	7677	27648000	11654448	1491	15813785	4874984	248422	18393338	0	0	5360172368
225923	1639424	26284	7675	26779648	11515472	1536	18613700	5810493	250673	19073583	0	0	5523458392
231372	1687552	29696	7681	30273536	11320240	1581	18875512	4595632	292633	23475254	0	0	5686496912
236476	1734656	27668	7673	28188672	11650736	1624	18726380	6884793	294033	19021383	0	0	5841185224
241513	1781760	29632	7665	30208000	11246128	1667	18795201	4044957	246002	20338415	0	0	5995691424
246620	1829888	28664	7668	29216768	11189056	1712	16377009	4596532	239032	16614161	0	0	6158286144
251914	1879040	28512	7673	29061120	11534448	1760	19681950	4293129	221902	19969522	0	0	6330122656
257055	1927168	27220	7676	27742208	11464384	1805	14540952	3614073	237092	14716565	0	0	6492802296
262103	1974272	31056	7670	31666176	11594240	1848	16930654	9641068	224462	17135926	0	0	6647597128
267489	2022400	34228	10879	34942976	14779792	1893	17550649	3231129	255512	20643957	0	0	6811493888
272636	2070528	27208	7674	27725824	11367200	1939	15422821	4366350	246962	19397437	0	0	6973899792
278040	2119680	27720	7678	28250112	11540704	1986	15704223	4148648	255382	16991635	0	0	7144499432
283225	2166784	33016	7675	33677312	11545232	2028	16103927	4475140	251653	19669429	0	0	7299283360
288293	2214912	29268	7674	29831168	11520320	2074	15617622	4552222	228622	19699449	0	0	7461172960
293596	2263040	25680	7678	26157056	11709120	2120	15160998	4630102	224812	18259126	0	0	7623154200
