# firn-gc-soak v1 mode=0 (0=replace, 1=keep/must grow)
# columns: t_ms rounds rss_kib live heap_bytes live_bytes collections pause_win_ns mark_win_ns sweep_win_ns stop_win_ns full_runs overflows asked
0	0	1952	0	1843200	0	0	0	0	0	0	0	0	0
10228	79872	35096	10881	35827712	14851888	86	18621259	4888534	246122	39238787	0	0	274395288
20584	152576	24552	7675	25018368	11216784	154	17057315	5631452	251593	32233903	0	0	523547240
31002	225280	26396	7679	26894336	10941520	221	16579511	6417229	287513	30577028	0	0	771817664
41145	277504	22620	7700	23031808	6890368	271	45196441	17189117	10137792	80242851	0	0	960129416
51444	324608	28568	7681	29122560	10920048	313	45514664	11510235	9172643	77887619	0	0	1119627120
61623	391168	24756	7681	25206784	11447088	369	26232429	6574290	4136328	42445097	0	0	1320470576
72111	463872	24612	7681	25059328	11349840	435	18819442	6232266	240923	34799157	0	0	1568425936
82671	534528	36964	10883	37740544	14911792	497	21228353	6741492	240172	38428850	0	0	1799893640
92746	590848	15564	7703	15806464	6562768	555	19598328	7328526	283683	34839197	0	0	2013921800
102999	654336	27652	7683	28172288	11596816	607	119214146	35714095	3053878	154933771	0	0	2202563616
113034	711680	20876	7705	21245952	6637936	664	18635709	6048015	310403	44078272	0	0	2419924208
123339	777216	27456	7683	27979776	10775632	721	19298846	5991485	279252	33695187	0	0	2629297952
133856	847872	30788	7684	31395840	11424320	784	19590228	4618352	229092	32267684	0	0	2859544600
143917	916480	16708	7403	16990208	8796560	843	20263025	5010046	367564	33972749	0	0	3074078040
154092	966656	37308	10885	38088704	14721648	889	25636624	11597785	314893	47830746	0	0	3253240264
164092	1022976	15168	7708	15400960	6500672	946	53134044	8424667	2984898	53387136	0	0	3465752128
174124	1088512	25980	7688	26464256	11132224	1002	18289637	5431920	228022	32702338	0	0	3671623120
184575	1159168	27288	7686	27803648	11766624	1065	18803042	5620221	245733	32000331	0	0	3903435200
194714	1229824	29232	7668	29802496	11316064	1128	17779352	5699532	256772	30777240	0	0	4135006400
204718	1294336	9160	4793	9244672	3128464	1190	21631777	5686192	237062	33022961	0	0	4362750528
214846	1352704	28364	7682	28909568	11140224	1243	23870117	5678592	250232	32308404	0	0	4564701272
225122	1403904	32808	10888	33488896	13982688	1291	22235633	9924240	231182	44898069	0	0	4752758936
235289	1472512	24868	7680	25337856	11227968	1350	18185315	4933085	238462	31453906	0	0	4967143144
245670	1545216	27632	7684	28155904	10853632	1417	20013553	5164537	244322	32337075	0	0	5214307736
256224	1615872	32412	7682	33058816	11512416	1480	19721360	5945114	249632	33364444	0	0	5445856040
266376	1685504	27124	7662	27631616	11329056	1541	18598640	6932203	287343	36695764	0	0	5669774952
276444	1742848	18136	7698	18444288	6577728	1601	21491636	5923314	251412	32912039	0	0	5892893400
286534	1809408	28816	7659	29372416	10789040	1659	17824133	6131416	258303	30788351	0	0	6106751688
296616	1879040	27964	7683	28504064	11567696	1720	18010024	6316127	257532	33042081	0	0	6330122656
306631	1936384	16056	7681	16318464	6555600	1777	19486997	5595891	262542	34673426	0	0	6544297064
316858	2000896	26424	7684	26923008	11103232	1833	20332275	5752413	254702	34269092	0	0	6750702816
327376	2071552	28376	7685	28913664	11730064	1896	18085345	6335438	290232	32388995	0	0	6982265008
337802	2143232	31172	7680	31784960	11338080	1961	19928761	6497189	7102015	32503866	0	0	7221769752
348207	2214912	32348	7682	32985088	11464160	2026	19772620	4251389	298002	32013312	0	0	7461172960
358491	2287616	27032	7686	27541504	11686048	2094	18426658	5293438	247803	32653338	0	0	7709098984
368707	2358272	27288	7679	27803648	11279952	2158	18104095	5886624	290952	31440977	0	0	7941201888
378768	2416640	13804	7683	14004224	6098576	2217	20659148	6917903	256712	34239982	0	0	8160853952
388995	2481152	30980	7682	31584256	11035360	2272	18297177	6525190	243612	32035422	0	0	8369707200
399272	2550784	32256	7682	32890880	11500544	2333	18045074	5657021	331303	33445595	0	0	8594109376
409355	2621440	32308	10862	32980992	14449472	2396	18206756	5618271	1003499	32841249	0	0	8826429744
419476	2677760	22356	7692	22761472	6595456	2455	19134554	6614981	256812	33072141	0	0	9047267640
429697	2743296	24520	7680	24969216	11545184	2510	19486097	6372228	268233	33495335	0	0	9246451232
439807	2796544	22788	7693	23199744	9977232	2564	20429816	5781563	3136029	36310481	0	0	9449387424
450154	2863104	25856	7683	26345472	11595344	2619	20054432	5000316	260083	36098308	0	0	9648760920
460158	2919424	15780	7702	16027648	6458752	2675	19177855	7743410	279593	34325882	0	0	9860898168
470492	2984960	26724	7687	27230208	11223152	2731	19855671	6748732	276813	34497384	0	0	10068798144
480814	3056640	24196	7682	24641536	11114336	2797	16993825	7322146	266773	30251475	0	0	10307716832
490977	3127296	24692	7678	25149440	11545120	2860	18299667	5109496	303083	31571848	0	0	10539671416
501366	3198976	26796	7682	27299840	11584224	2925	18810171	5001986	241692	33993269	0	0	10778882352
511415	3271680	31200	7678	31809536	11550336	2992	16566921	6093576	294422	29983933	0	0	11026216904
521746	3342336	31896	7682	32522240	11527168	3055	20534237	4856494	245273	35615174	0	0	11257358672
531746	3407872	8136	5019	8187904	3354448	3117	24468384	7115015	276593	42136384	0	0	11480212440
541939	3466240	24604	7685	25055232	10999920	3172	17439439	5083217	294813	34376524	0	0	11692268184
552044	3536896	24812	7676	25268224	11201760	3235	18626860	6133456	239312	31961142	0	0	11923952696
562252	3610624	28908	7684	29474816	11127744	3304	22207142	4216089	239132	33394064	0	0	12181057352
572586	3681280	27436	7684	27959296	10880032	3367	17818693	4824834	252992	32634988	0	0	12412540048
582950	3751936	32368	7681	33009664	11684368	3430	18479468	5266758	305833	35170321	0	0	12644189448
593264	3823616	24976	7682	25432064	11693024	3496	17823182	5101236	222712	32231364	0	0	12884734560
603728	3895296	31796	7680	32423936	11540352	3561	18467288	6235297	347853	31614558	0	0	13124709320
613728	3946496	29364	10887	29962240	14175824	3611	26231680	5284988	250242	48344361	0	0	13313644696
623802	4017152	30896	7681	31502336	10619120	3673	18301547	4393880	218282	33006501	0	0	13545985192
633926	4090880	27776	7681	28303360	10847504	3742	16259118	5319589	283512	28526870	0	0	13803265744
644214	4163584	26928	7671	27435008	11069648	3809	15997046	4340159	216472	29742041	0	0	14052407016
654624	4236288	22912	7689	23322624	10706768	3875	16173328	4535812	229893	28578351	0	0	14298728976
664850	4306944	25660	7681	26148864	10898928	3938	17815432	4983646	250502	31953691	0	0	14530830352
675283	4375552	28744	7681	29302784	11594768	3996	25111059	10642637	3081398	39922674	0	0	14745237912
685645	4428800	26448	10900	26976256	10077536	4048	22945979	7634430	308243	43698128	0	0	14944735160
695829	4497408	24396	7677	24846336	10995152	4107	17631941	4643913	277033	31395816	0	0	15163518272
706004	4569088	25224	7685	25698304	10982480	4172	17216627	4884705	311663	30820291	0	0	15403127760
716371	4638720	30076	10890	30683136	14740576	4232	23203031	10232143	285352	43467667	0	0	15626374432
726598	4711424	32436	7486	33075200	10918848	4299	17182967	8899581	262542	33290844	0	0	15874632392
736959	4783104	27228	7676	27738112	11556224	4364	17477279	6124876	267352	35813926	0	0	16113796232
747485	4855808	26660	7679	27168768	11573968	4432	20270565	5812293	263513	32579548	0	0	16362384504
757718	4927488	30188	7684	30769152	11500320	4497	18356488	6218047	260202	32869809	0	0	16604053296
